project_id,wgs_files,cases_with_wgs_files,total_file_gb,files_ge_40gb,controlled_files,open_files,data_formats,data_types
CGCI-BLGSP,3232,252,154365.8,463,2640,592,"{'BAM': 488, 'VCF': 1493, 'TAR': 223, 'BEDPE': 436, 'TXT': 408, 'TSV': 184}","{'Aligned Reads': 488, 'Raw Simple Somatic Mutation': 841, 'Structural Rearrangement': 873, 'Intermediate Analysis Archive': 223, 'Annotated Somatic Mutation': 215, 'Allele-specific Copy Number Segment': 185, 'Copy Number Segment': 223, 'Gene Level Copy Number': 184}"
CGCI-HTMCP-CC,2370,124,86479.3,287,1893,477,"{'VCF': 1122, 'BAM': 287, 'BEDPE': 321, 'TAR': 163, 'TXT': 320, 'TSV': 157}","{'Raw Simple Somatic Mutation': 639, 'Aligned Reads': 287, 'Structural Rearrangement': 642, 'Intermediate Analysis Archive': 163, 'Annotated Somatic Mutation': 162, 'Allele-specific Copy Number Segment': 157, 'Copy Number Segment': 163, 'Gene Level Copy Number': 157}"
CGCI-HTMCP-DLBCL,766,66,38748.5,116,616,150,"{'BAM': 116, 'TAR': 50, 'TSV': 50, 'VCF': 349, 'BEDPE': 101, 'TXT': 100}","{'Aligned Reads': 116, 'Intermediate Analysis Archive': 50, 'Gene Level Copy Number': 50, 'Annotated Somatic Mutation': 48, 'Structural Rearrangement': 202, 'Raw Simple Somatic Mutation': 200, 'Copy Number Segment': 50, 'Allele-specific Copy Number Segment': 50}"
CGCI-HTMCP-LC,530,39,23051.6,75,426,104,"{'VCF': 246, 'BAM': 75, 'BEDPE': 69, 'TAR': 36, 'TXT': 70, 'TSV': 34}","{'Raw Simple Somatic Mutation': 141, 'Aligned Reads': 75, 'Annotated Somatic Mutation': 36, 'Structural Rearrangement': 138, 'Intermediate Analysis Archive': 36, 'Copy Number Segment': 36, 'Allele-specific Copy Number Segment': 34, 'Gene Level Copy Number': 34}"
TCGA-DLBC,711,42,26717.7,98,597,114,"{'VCF': 344, 'BAM': 98, 'BEDPE': 107, 'TXT': 81, 'TSV': 33, 'TAR': 48}","{'Raw Simple Somatic Mutation': 168, 'Annotated Somatic Mutation': 69, 'Aligned Reads': 98, 'Structural Rearrangement': 214, 'Allele-specific Copy Number Segment': 33, 'Gene Level Copy Number': 33, 'Copy Number Segment': 48, 'Intermediate Analysis Archive': 48}"
