Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR32035154,2025-06-10 14:48:45,2025-01-17 12:15:54,23534909,8501751295,0,361,8638,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR032/32035/SRR32035154/SRR32035154.1,SRX27384743,DG75_PoreC,Hi-C,Restriction Digest,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,PromethION,SRP558078,PRJNA1212064,,1212064,SRS23817934,SAMN46290639,simple,9606,Homo sapiens,DG-75,,,,,male,,no,,,,,NATIONAL CANCER INSTITUTE,SRA2053825,,public,A9BB18071AF7B85DDB73DCB752B128E0,5CDE08AE97808E46854CA1CF4379838E
SRR32035155,2025-06-10 14:48:45,2025-01-17 18:54:18,22779576,20555534159,0,902,19014,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR032/32035/SRR32035155/SRR32035155.1,SRX27384742,EB3_PoreC,Hi-C,Restriction Digest,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,PromethION,SRP558078,PRJNA1212064,,1212064,SRS23817933,SAMN46290638,simple,9606,Homo sapiens,EB-3,,,,,male,,no,,,,,NATIONAL CANCER INSTITUTE,SRA2053825,,public,2A3081726318F9783E33EE38C58150E4,CE2A3371A2281C3069B958C998369DD1
SRR32035152,2025-06-10 14:48:44,2025-01-17 12:55:42,10716501,78718155213,0,7345,65172,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR032/32035/SRR32035152/SRR32035152.1,SRX27384745,EB3_WGS,WGS,size fractionation,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,PromethION,SRP558078,PRJNA1212064,,1212064,SRS23817933,SAMN46290638,simple,9606,Homo sapiens,EB-3,,,,,male,,no,,,,,NATIONAL CANCER INSTITUTE,SRA2053825,,public,8BE4A1434D8D5726A9DA7435B78282D0,42761D2A2257F46C718BFB6E5F456C8A
SRR32035153,2025-06-10 14:48:44,2025-01-17 12:14:15,16478821,10292789299,0,624,9743,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-run-936/SRR032/32035/SRR32035153/SRR32035153.1,SRX27384744,Raji_PoreC,Hi-C,Restriction Digest,GENOMIC,SINGLE,0,0,OXFORD_NANOPORE,PromethION,SRP558078,PRJNA1212064,,1212064,SRS23817935,SAMN46290640,simple,9606,Homo sapiens,Raji,,,,,male,,no,,,,,NATIONAL CANCER INSTITUTE,SRA2053825,,public,7DEF25D4B112AB6EED4FA296B3DAE9C4,5D77E86C92074B2DC7287CDFE1807C49
