cohort	cohort_label	sample	species	deduplicated_reads
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL241-C1_S07	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL241-C1_S07	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL241-C1_S07	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL246-C1_S07	HTLV1	13787
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL246-C1_S07	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL246-C1_S07	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL246-C1_S07	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL246-C1_S07	HERV	2
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL211-C1_S06	HTLV1	13413
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL211-C1_S06	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL211-C1_S06	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL211-C1_S06	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL211-C1_S06	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL212-C1_S04	HTLV1	13203
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL212-C1_S04	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL212-C1_S04	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL212-C1_S04	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL212-C1_S04	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL326-P2_S01	HTLV1	10296
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL326-P2_S01	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL326-P2_S01	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL326-P2_S01	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL326-P2_S01	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL215-C2_S06	HTLV1	8270
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL215-C2_S06	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL215-C2_S06	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL215-C2_S06	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL215-C2_S06	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL326-PD_S03	HTLV1	8182
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL326-PD_S03	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL326-PD_S03	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL326-PD_S03	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL326-PD_S03	HERV	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL208-C2_S03	HTLV1	6805
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL208-C2_S03	HTLV2	0
