cohort	cohort_label	sample	species	deduplicated_reads
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL326-PD_S03	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL326-PD_S03	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL326-PD_S03	HERV	1492
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL246-C1_S07	HTLV1	53763
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL246-C1_S07	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL246-C1_S07	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL246-C1_S07	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL246-C1_S07	HERV	5416
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL212-C1_S04	HTLV1	39023
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL212-C1_S04	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL212-C1_S04	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL212-C1_S04	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL212-C1_S04	HERV	7517
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL237-C2_S08	HTLV1	38233
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL237-C2_S08	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL237-C2_S08	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL237-C2_S08	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL237-C2_S08	HERV	7417
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL211-C1_S06	HTLV1	31787
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL211-C1_S06	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL211-C1_S06	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL211-C1_S06	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL211-C1_S06	HERV	11285
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-PD_S02	HTLV1	30401
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-PD_S02	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-PD_S02	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-PD_S02	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL327-PD_S02	HERV	5708
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL241-C1_S07	HTLV1	27936
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL241-C1_S07	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL241-C1_S07	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL241-C1_S07	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL241-C1_S07	HERV	6683
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL233-C2_S08	HTLV1	21157
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL233-C2_S08	HTLV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL233-C2_S08	HIV1	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL233-C2_S08	HIV2	0
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL233-C2_S08	HERV	6215
targeted_htlv	Targeted HTLV TCL	targeted_htlv_tcl_TCL301-P10_S02	HTLV1	20338
